AB-04s,2024 WANCO SILENT SENTINAL,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,600,600
DT-01S,2011 Ford F-650 Dump Truck,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1600,1600
EX-01S,CAT 304E2CR Mini Excavator 2015,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,2000,2000
MB-02S,2023 VM PCMS-1500LP (223779),3/31/2025,25-99,1,2023 0035A,4,1,MONTHLY,1500,1500
MB-03S,2023 VM PCMS-1500LP (223782),3/31/2025,25-99,1,2024 0025A,4,1,MONTHLY,1500,1500
MB-04S,2023 VM PCMS-1500LP (223788),3/31/2025,25-99,1,2024 0025A,4,1,MONTHLY,1500,1500
MB-05S,MESSAGE BOARD FULL-SIZED,3/31/2025,25-99,1,2024 0030A,4,1,MONTHLY,1500,1500
MB-07S,2023 VM PCMS-1500 (26958),3/31/2025,25-99,1,2024 0025A,4,1,MONTHLY,1500,1500
MB-08S,2023 VM PCMS-1500 (26956),3/31/2025,25-99,1,2023 0035A,4,1,MONTHLY,1500,1500
MB-09S,2023 VM PCMS-1500 (26916),3/31/2025,25-99,1,2024 0025A,4,1,MONTHLY,1500,1500
MB-10S,2023 VM PCMS-1500 (26914),3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1500,1500
PT-09S,2022 F-F-150 Crew Cab,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1200,1200
PT-11S,2500 Chevy Silverado Crew Cab,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1200,1200
PT-13S,2023 F-150,3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1200,1200
PT-17S,2024 F250 XL (RED44172),3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1200,1200
PT-18S,2024 F250 XL (RED37049),3/31/2025,24-04,1,9000 100M,4,1,MONTHLY,1200,1200
SFB-03S,2014 Freightliner Business Class M2 TMA,3/31/2025,25-99,1,2023 0035A,4,1,MONTHLY,4500,4500
